drug,label,organization,name,update_date,gene,data_source
carvedilol,Informative PGx,Swissmedic,Annotation of Swissmedic Label for carvedilol and CYP2D6,,CYP2D6,drug_label
celecoxib,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for celecoxib and CYP2C9,,CYP2C9,drug_label
dapoxetine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for dapoxetine and CYP2D6,,CYP2D6,drug_label
darifenacin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for darifenacin and CYP2D6,,CYP2D6,drug_label
eletriptan,Informative PGx,Swissmedic,Annotation of Swissmedic Label for eletriptan and CYP2D6,,CYP2D6,drug_label
escitalopram,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for escitalopram and CYP2C19,,CYP2C19,drug_label
flucloxacillin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for flucloxacillin and HLA-B,,HLA-B,drug_label
fluorouracil,Testing recommended,Swissmedic,Annotation of Swissmedic Label for fluorouracil / salicylic acid and DPYD,,DPYD,drug_label
salicylic acid,Testing recommended,Swissmedic,Annotation of Swissmedic Label for fluorouracil / salicylic acid and DPYD,,DPYD,drug_label
fluvoxamine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for fluvoxamine and CYP2D6,,CYP2D6,drug_label
galantamine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for galantamine and CYP2D6,,CYP2D6,drug_label
glimepiride,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for glimepiride and G6PD,,G6PD,drug_label
haloperidol,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for haloperidol and CYP2D6,,CYP2D6,drug_label
indacaterol,Informative PGx,Swissmedic,Annotation of Swissmedic Label for indacaterol and UGT1A1,,UGT1A1,drug_label
irinotecan,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for irinotecan and UGT1A1,,UGT1A1,drug_label
lansoprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for lansoprazole and CYP2C19,,CYP2C19,drug_label
lesinurad,Informative PGx,Swissmedic,Annotation of Swissmedic Label for lesinurad and CYP2C9,,CYP2C9,drug_label
metoprolol,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for metoprolol and CYP2D6,,CYP2D6,drug_label
mirabegron,Informative PGx,Swissmedic,Annotation of Swissmedic Label for mirabegron and CYP2D6,,CYP2D6,drug_label
mivacurium chloride,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for mivacurium chloride and BCHE,,BCHE,drug_label
moxifloxacin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for moxifloxacin and G6PD,,G6PD,drug_label
nicor,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for nicorandil and G6PD,,G6PD,drug_label
il,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for nicorandil and G6PD,,G6PD,drug_label
norfloxacin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for norfloxacin and G6PD,,G6PD,drug_label
nitroglycerin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for nitroglycerin and G6PD,,G6PD,drug_label
omeprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for omeprazole and CYP2C19,,CYP2C19,drug_label
pantoprazole,Informative PGx,Swissmedic,Annotation of Swissmedic Label for pantoprazole and CYP2C19,,CYP2C19,drug_label
citalopram,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for citalopram and CYP2C19, CYP2D6",,CYP2C19,drug_label
citalopram,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for citalopram and CYP2C19, CYP2D6",,CYP2D6,drug_label
dolutegravir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for dolutegravir and CYP3A4, CYP3A5, NR1I2, UGT1A1",,CYP3A4,drug_label
dolutegravir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for dolutegravir and CYP3A4, CYP3A5, NR1I2, UGT1A1",,CYP3A5,drug_label
dolutegravir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for dolutegravir and CYP3A4, CYP3A5, NR1I2, UGT1A1",,NR1I2,drug_label
dolutegravir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for dolutegravir and CYP3A4, CYP3A5, NR1I2, UGT1A1",,UGT1A1,drug_label
alectinib,Testing required,EMA,Annotation of EMA Label for alectinib and ALK,,ALK,drug_label
atezolizumab,Testing required,EMA,Annotation of EMA Label for atezolizumab and CD274,,CD274,drug_label
brexpiprazole,Actionable PGx,EMA,Annotation of EMA Label for brexpiprazole and CYP2D6,,CYP2D6,drug_label
efavirenz,Actionable PGx,EMA,Annotation of EMA Label for efavirenz and CYP2B6,,CYP2B6,drug_label
gefitinib,Actionable PGx,EMA,Annotation of EMA Label for gefitinib and CYP2D6,,CYP2D6,drug_label
glibenclamide,Actionable PGx,EMA,Annotation of EMA Label for glibenclamide and G6PD,,G6PD,drug_label
lacosamide,Informative PGx,EMA,Annotation of EMA Label for lacosamide and CYP2C19,,CYP2C19,drug_label
lidocaine,Actionable PGx,EMA,Annotation of EMA Label for lidocaine / prilocaine and G6PD,,G6PD,drug_label
prilocaine,Actionable PGx,EMA,Annotation of EMA Label for lidocaine / prilocaine and G6PD,,G6PD,drug_label
phenytoin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for phenytoin and CYP2C9, HLA-B",,CYP2C9,drug_label
phenytoin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for phenytoin and CYP2C9, HLA-B",,HLA-B,drug_label
piroxicam,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for piroxicam and CYP2C9,,CYP2C9,drug_label
prilocaine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for prilocaine and G6PD,,G6PD,drug_label
ranolazine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for ranolazine and CYP2D6,,CYP2D6,drug_label
vernakalant,Informative PGx,Swissmedic,Annotation of Swissmedic Label for vernakalant and CYP2D6,,CYP2D6,drug_label
zidovudine,Testing required,Swissmedic,Annotation of Swissmedic Label for zidovudine / lamivudine / abacavir and HLA-B,,HLA-B,drug_label
lamivudine,Testing required,Swissmedic,Annotation of Swissmedic Label for zidovudine / lamivudine / abacavir and HLA-B,,HLA-B,drug_label
abacavir,Testing required,Swissmedic,Annotation of Swissmedic Label for zidovudine / lamivudine / abacavir and HLA-B,,HLA-B,drug_label
vitamin c,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for vitamin c and G6PD,,G6PD,drug_label
ledipasvir,Informative PGx,FDA,Annotation of FDA Label for ledipasvir / sofosbuvir and IFNL3,,IFNL3,drug_label
sofosbuvir,Informative PGx,FDA,Annotation of FDA Label for ledipasvir / sofosbuvir and IFNL3,,IFNL3,drug_label
isosorbide dinitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R1,drug_label
isosorbide dinitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R2,drug_label
isosorbide dinitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R3,drug_label
isosorbide dinitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R4,drug_label
amifampridine phosphate,Actionable PGx,FDA,Annotation of FDA Label for amifampridine phosphate and NAT2,2019-10-04,NAT2,drug_label
fampridine,Informative PGx,EMA,Annotation of EMA Label for fampridine and SLC22A2,2019-12-04,SLC22A2,drug_label
sunitinib,Informative PGx,EMA,Annotation of EMA Label for sunitinib and CYP3A4,2019-12-04,CYP3A4,drug_label
telithromycin,Informative PGx,EMA,Annotation of EMA Label for telithromycin and CYP3A4,2019-12-04,CYP3A4,drug_label
atazanavir,Testing recommended,EMA,Annotation of EMA Label for atazanavir and CYP2C19,2014-09-16,CYP2C19,drug_label
darunavir,Informative PGx,EMA,Annotation of EMA Label for darunavir and CYP3A4,2019-12-04,CYP3A4,drug_label
dronedarone,Informative PGx,EMA,"Annotation of EMA Label for dronedarone and CYP2D6, CYP3A4",2019-12-04,CYP2D6,drug_label
dronedarone,Informative PGx,EMA,"Annotation of EMA Label for dronedarone and CYP2D6, CYP3A4",2019-12-04,CYP3A4,drug_label
eliglustat,Testing required,FDA,Annotation of FDA Label for eliglustat and CYP2D6,,CYP2D6,drug_label
abacavir,Informative PGx,PMDA,Annotation of PMDA Label for abacavir and HLA-B,,HLA-B,drug_label
atomoxetine,Actionable PGx,PMDA,Annotation of PMDA Label for atomoxetine and CYP2D6,,CYP2D6,drug_label
atorvastatin,Informative PGx,PMDA,Annotation of PMDA Label for atorvastatin and LDLR,2017-11-08,LDLR,drug_label
azathioprine,Actionable PGx,PMDA,Annotation of PMDA Label for azathioprine and TPMT,,TPMT,drug_label
capecitabine,Actionable PGx,PMDA,Annotation of PMDA Label for capecitabine and DPYD,,DPYD,drug_label
clopidogrel,Actionable PGx,PMDA,Annotation of PMDA Label for clopidogrel and CYP2C19,,CYP2C19,drug_label
crizotinib,Testing required,PMDA,Annotation of PMDA Label for crizotinib and ALK,,ALK,drug_label
eltrombopag,Actionable PGx,PMDA,Annotation of PMDA Label for eltrombopag and SERPINC1,,SERPINC1,drug_label
fluorouracil,Actionable PGx,PMDA,Annotation of PMDA Label for fluorouracil and DPYD,,DPYD,drug_label
indacaterol,Actionable PGx,PMDA,Annotation of PMDA Label for indacaterol and UGT1A1,,UGT1A1,drug_label
irinotecan,Testing recommended,PMDA,Annotation of PMDA Label for irinotecan and UGT1A1,,UGT1A1,drug_label
lenalidomide,Informative PGx,PMDA,Annotation of PMDA Label for lenalidomide,,,drug_label
mycophenolic acid,Actionable PGx,PMDA,Annotation of PMDA Label for mycophenolic acid and HPRT1,,HPRT1,drug_label
panitumumab,Testing required,PMDA,Annotation of PMDA Label for panitumumab and KRAS,,KRAS,drug_label
rasburicase,Actionable PGx,PMDA,Annotation of PMDA Label for rasburicase and G6PD,,G6PD,drug_label
tolterodine,Informative PGx,PMDA,Annotation of PMDA Label for tolterodine and CYP2D6,,CYP2D6,drug_label
trastuzumab,Testing required,PMDA,Annotation of PMDA Label for trastuzumab and ERBB2,,ERBB2,drug_label
dasatinib,Testing required,PMDA,"Annotation of PMDA Label for dasatinib and ABL1, BCR",,ABL1,drug_label
dasatinib,Testing required,PMDA,"Annotation of PMDA Label for dasatinib and ABL1, BCR",,BCR,drug_label
arformoterol,Informative PGx,FDA,"Annotation of FDA Label for arformoterol and CYP2D6, UGT1A1",,CYP2D6,drug_label
arformoterol,Informative PGx,FDA,"Annotation of FDA Label for arformoterol and CYP2D6, UGT1A1",,UGT1A1,drug_label
fosamprenavir,Informative PGx,EMA,Annotation of EMA Label for fosamprenavir and CYP3A4,2019-12-04,CYP3A4,drug_label
tolterodine,Informative PGx,HCSC,Annotation of HCSC Label for tolterodine and CYP2D6,,CYP2D6,drug_label
trametinib,Testing required,HCSC,Annotation of HCSC Label for trametinib and BRAF,,BRAF,drug_label
trastuzumab,Testing required,HCSC,Annotation of HCSC Label for trastuzumab and ERBB2,,ERBB2,drug_label
trastuzumab emtansine,Testing required,HCSC,Annotation of HCSC Label for trastuzumab emtansine and ERBB2,,ERBB2,drug_label
tretinoin,Testing required,HCSC,"Annotation of HCSC Label for tretinoin and PML, RARA",,PML,drug_label
tretinoin,Testing required,HCSC,"Annotation of HCSC Label for tretinoin and PML, RARA",,RARA,drug_label
velaglucerase alfa,Testing required,HCSC,Annotation of HCSC Label for velaglucerase alfa and GBA,,GBA,drug_label
vemurafenib,Testing required,HCSC,Annotation of HCSC Label for vemurafenib and BRAF,,BRAF,drug_label
moviprep,Actionable PGx,HCSC,Annotation of HCSC Label for moviprep and G6PD,,G6PD,drug_label
voriconazole,Actionable PGx,HCSC,Annotation of HCSC Label for voriconazole and CYP2C19,,CYP2C19,drug_label
vortioxetine,Actionable PGx,HCSC,Annotation of HCSC Label for vortioxetine and CYP2D6,,CYP2D6,drug_label
vortioxetine,Actionable PGx,EMA,Annotation of EMA Label for vortioxetine and CYP2D6,2014-09-15,CYP2D6,drug_label
ruxolitinib,Informative PGx,EMA,Annotation of EMA Label for ruxolitinib and CYP3A4,2019-12-04,CYP3A4,drug_label
warfarin,Actionable PGx,HCSC,"Annotation of HCSC Label for warfarin and CYP2C9, VKORC1",,CYP2C9,drug_label
warfarin,Actionable PGx,HCSC,"Annotation of HCSC Label for warfarin and CYP2C9, VKORC1",,VKORC1,drug_label
axitinib,Informative PGx,EMA,"Annotation of EMA Label for axitinib and CYP2C19, UGT1A1",2014-09-12,CYP2C19,drug_label
axitinib,Informative PGx,EMA,"Annotation of EMA Label for axitinib and CYP2C19, UGT1A1",2014-09-12,UGT1A1,drug_label
ibrutinib,Testing required,EMA,Annotation of EMA Label for ibrutinib,,,drug_label
ceritinib,Testing required,EMA,Annotation of EMA Label for ceritinib and ALK,,ALK,drug_label
efavirenz,Actionable PGx,EMA,Annotation of EMA Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,2014-09-16,CYP2B6,drug_label
emtricitabine,Actionable PGx,EMA,Annotation of EMA Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,2014-09-16,CYP2B6,drug_label
tenofovir disoproxil,Actionable PGx,EMA,Annotation of EMA Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,2014-09-16,CYP2B6,drug_label
desflurane,Actionable PGx,FDA,"Annotation of FDA Label for desflurane and CACNA1S, RYR1",2019-10-14,CACNA1S,drug_label
desflurane,Actionable PGx,FDA,"Annotation of FDA Label for desflurane and CACNA1S, RYR1",2019-10-14,RYR1,drug_label
desflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for desflurane and CACNA1S, RYR1",,CACNA1S,drug_label
desflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for desflurane and CACNA1S, RYR1",,RYR1,drug_label
sirolimus,Informative PGx,EMA,Annotation of EMA Label for sirolimus and CYP3A4,2019-12-04,CYP3A4,drug_label
zonisamide,Informative PGx,EMA,Annotation of EMA Label for zonisamide and CYP3A4,2019-12-04,CYP3A4,drug_label
aliskiren,Informative PGx,EMA,Annotation of EMA Label for aliskiren and ABCB1,2019-12-04,ABCB1,drug_label
crizotinib,Testing required,HCSC,Annotation of HCSC Label for crizotinib and ALK,,ALK,drug_label
dabrafenib,Testing required,HCSC,Annotation of HCSC Label for dabrafenib and BRAF,,BRAF,drug_label
dapsone,Actionable PGx,HCSC,Annotation of HCSC Label for dapsone and G6PD,,G6PD,drug_label
darifenacin,Actionable PGx,HCSC,Annotation of HCSC Label for darifenacin and CYP2D6,,CYP2D6,drug_label
abacavir,Testing required,HCSC,Annotation of HCSC Label for abacavir and HLA-B,,HLA-B,drug_label
afatinib,Testing required,HCSC,Annotation of HCSC Label for afatinib and EGFR,2019-05-08,EGFR,drug_label
aripiprazole,Actionable PGx,HCSC,Annotation of HCSC Label for aripiprazole and CYP2D6,,CYP2D6,drug_label
posaconazole,Informative PGx,EMA,Annotation of EMA Label for posaconazole and CYP3A4,2019-12-04,CYP3A4,drug_label
indinavir,Informative PGx,EMA,Annotation of EMA Label for indinavir and CYP3A4,2019-12-04,CYP3A4,drug_label
clopidogrel,Actionable PGx,HCSC,Annotation of HCSC Label for clopidogrel and CYP2C19,,CYP2C19,drug_label
codeine,Actionable PGx,HCSC,Annotation of HCSC Label for codeine and CYP2D6,,CYP2D6,drug_label
dexlansoprazole,Actionable PGx,HCSC,Annotation of HCSC Label for dexlansoprazole and CYP2C19,,CYP2C19,drug_label
divalproex sodium,Testing required,HCSC,Annotation of HCSC Label for divalproex sodium and POLG,,POLG,drug_label
efavirenz,Actionable PGx,HCSC,Annotation of HCSC Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,,CYP2B6,drug_label
emtricitabine,Actionable PGx,HCSC,Annotation of HCSC Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,,CYP2B6,drug_label
tenofovir disoproxil,Actionable PGx,HCSC,Annotation of HCSC Label for efavirenz / emtricitabine / tenofovir disoproxil and CYP2B6,,CYP2B6,drug_label
erlotinib,Testing required,HCSC,Annotation of HCSC Label for erlotinib and EGFR,,EGFR,drug_label
erythromycin ethylsuccinate,Actionable PGx,HCSC,Annotation of HCSC Label for erythromycin ethylsuccinate / sulfisoxazole acetyl and G6PD,,G6PD,drug_label
sulfisoxazole acetyl,Actionable PGx,HCSC,Annotation of HCSC Label for erythromycin ethylsuccinate / sulfisoxazole acetyl and G6PD,,G6PD,drug_label
esomeprazole,Informative PGx,HCSC,Annotation of HCSC Label for esomeprazole and CYP2C19,,CYP2C19,drug_label
fesoterodine,Actionable PGx,HCSC,Annotation of HCSC Label for fesoterodine and CYP2D6,,CYP2D6,drug_label
fluorouracil,Actionable PGx,HCSC,Annotation of HCSC Label for fluorouracil and DPYD,,DPYD,drug_label
galantamine,Informative PGx,HCSC,Annotation of HCSC Label for galantamine and CYP2D6,,CYP2D6,drug_label
gefitinib,Testing required,HCSC,Annotation of HCSC Label for gefitinib and EGFR,,EGFR,drug_label
glibenclamide,Actionable PGx,HCSC,Annotation of HCSC Label for glibenclamide and G6PD,,G6PD,drug_label
glimepiride,Actionable PGx,HCSC,Annotation of HCSC Label for glimepiride and G6PD,,G6PD,drug_label
ibrutinib,Testing required,HCSC,Annotation of HCSC Label for ibrutinib,,,drug_label
acetaminophen; tramadol,Actionable PGx,HCSC,"Annotation of HCSC Label for acetaminophen, tramadol and CYP2D6",,CYP2D6,drug_label
anastrozole,Testing required,HCSC,"Annotation of HCSC Label for anastrozole and ESR1, ESR2, PGR",,ESR1,drug_label
anastrozole,Testing required,HCSC,"Annotation of HCSC Label for anastrozole and ESR1, ESR2, PGR",,ESR2,drug_label
anastrozole,Testing required,HCSC,"Annotation of HCSC Label for anastrozole and ESR1, ESR2, PGR",,PGR,drug_label
ivabradine,Informative PGx,EMA,Annotation of EMA Label for ivabradine and CYP3A4,2019-12-04,CYP3A4,drug_label
isoflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for isoflurane and CACNA1S, RYR1",,CACNA1S,drug_label
isoflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for isoflurane and CACNA1S, RYR1",,RYR1,drug_label
simeprevir,Informative PGx,HCSC,Annotation of HCSC Label for simeprevir and IFNL3,,IFNL3,drug_label
succinylcholine,Actionable PGx,HCSC,Annotation of HCSC Label for succinylcholine and BCHE,,BCHE,drug_label
sulfadiazine,Actionable PGx,HCSC,Annotation of HCSC Label for sulfadiazine and G6PD,,G6PD,drug_label
sulfamethoxazole,Actionable PGx,HCSC,Annotation of HCSC Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
trimethoprim,Actionable PGx,HCSC,Annotation of HCSC Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
sulfasalazine,Actionable PGx,HCSC,Annotation of HCSC Label for sulfasalazine and G6PD,,G6PD,drug_label
eliglustat,Testing required,EMA,Annotation of EMA Label for eliglustat and CYP2D6,,CYP2D6,drug_label
irinotecan,Actionable PGx,HCSC,Annotation of HCSC Label for irinotecan and UGT1A1,,UGT1A1,drug_label
ivacaftor,Testing required,HCSC,Annotation of HCSC Label for ivacaftor and CFTR,,CFTR,drug_label
lenalidomide,Informative PGx,HCSC,Annotation of HCSC Label for lenalidomide,,,drug_label
lomitapide,Informative PGx,HCSC,Annotation of HCSC Label for lomitapide and LDLR,2017-11-08,LDLR,drug_label
mercaptopurine,Actionable PGx,HCSC,Annotation of HCSC Label for mercaptopurine and TPMT,,TPMT,drug_label
metoprolol,Actionable PGx,HCSC,Annotation of HCSC Label for metoprolol and CYP2D6,,CYP2D6,drug_label
mycophenolic acid,Actionable PGx,HCSC,Annotation of HCSC Label for mycophenolic acid and HPRT1,,HPRT1,drug_label
nitrofurantoin,Actionable PGx,HCSC,Annotation of HCSC Label for nitrofurantoin and G6PD,,G6PD,drug_label
norfloxacin,Actionable PGx,HCSC,Annotation of HCSC Label for norfloxacin and G6PD,,G6PD,drug_label
nortriptyline,Actionable PGx,HCSC,Annotation of HCSC Label for nortriptyline and CYP2D6,,CYP2D6,drug_label
omeprazole,Informative PGx,HCSC,Annotation of HCSC Label for omeprazole and CYP2C19,,CYP2C19,drug_label
tamoxifen,Testing required,HCSC,"Annotation of HCSC Label for tamoxifen and CYP2D6, ESR1, ESR2",,CYP2D6,drug_label
tamoxifen,Testing required,HCSC,"Annotation of HCSC Label for tamoxifen and CYP2D6, ESR1, ESR2",,ESR1,drug_label
tamoxifen,Testing required,HCSC,"Annotation of HCSC Label for tamoxifen and CYP2D6, ESR1, ESR2",,ESR2,drug_label
trametinib,Testing required,EMA,Annotation of EMA Label for trametinib and BRAF,,BRAF,drug_label
tipranavir,Informative PGx,EMA,Annotation of EMA Label for tipranavir and CYP3A4,2019-12-04,CYP3A4,drug_label
tetrabenazine,Actionable PGx,HCSC,Annotation of HCSC Label for tetrabenazine and CYP2D6,,CYP2D6,drug_label
thioguanine,Actionable PGx,HCSC,Annotation of HCSC Label for thioguanine and TPMT,,TPMT,drug_label
sevoflurane,Actionable PGx,FDA,"Annotation of FDA Label for sevoflurane and CACNA1S, RYR1",,CACNA1S,drug_label
sevoflurane,Actionable PGx,FDA,"Annotation of FDA Label for sevoflurane and CACNA1S, RYR1",,RYR1,drug_label
sevoflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for sevoflurane and CACNA1S, RYR1",,CACNA1S,drug_label
sevoflurane,Actionable PGx,HCSC,"Annotation of HCSC Label for sevoflurane and CACNA1S, RYR1",,RYR1,drug_label
meloxicam,Actionable PGx,FDA,Annotation of FDA Label for meloxicam and CYP2C9,2020-02-11,CYP2C9,drug_label
pitolisant,Actionable PGx,FDA,Annotation of FDA Label for pitolisant and CYP2D6,2020-02-11,CYP2D6,drug_label
enflurane,Actionable PGx,FDA,"Annotation of FDA Label for enflurane and CACNA1S, RYR1",2020-02-11,CACNA1S,drug_label
enflurane,Actionable PGx,FDA,"Annotation of FDA Label for enflurane and CACNA1S, RYR1",2020-02-11,RYR1,drug_label
voxelotor,Informative PGx,FDA,Annotation of FDA Label for voxelotor and HBB,,HBB,drug_label
luspatercept-aamt,Informative PGx,FDA,Annotation of FDA Label for luspatercept-aamt and HBB,,HBB,drug_label
enfortumab vedotin,Informative PGx,FDA,Annotation of FDA Label for enfortumab vedotin and NECTIN4,,NECTIN4,drug_label
crizanlizumab-tmca,Informative PGx,FDA,Annotation of FDA Label for crizanlizumab-tmca,,,drug_label
upadacitinib,Informative PGx,FDA,Annotation of FDA Label for upadacitinib and CYP2D6,,CYP2D6,drug_label
elexacaftor,Testing required,FDA,Annotation of FDA Label for elexacaftor / tezacaftor / ivacaftor and CFTR,,CFTR,drug_label
tezacaftor,Testing required,FDA,Annotation of FDA Label for elexacaftor / tezacaftor / ivacaftor and CFTR,,CFTR,drug_label
ivacaftor,Testing required,FDA,Annotation of FDA Label for elexacaftor / tezacaftor / ivacaftor and CFTR,,CFTR,drug_label
fam-trastuzumab deruxtecan-nxki,Testing required,FDA,Annotation of FDA Label for fam-trastuzumab deruxtecan-nxki and ERBB2,,ERBB2,drug_label
golodirsen,Testing required,FDA,Annotation of FDA Label for golodirsen and DMD,,DMD,drug_label
lenvatinib,Testing required,FDA,Annotation of FDA Label for lenvatinib,,,drug_label
vortioxetine,Actionable PGx,FDA,Annotation of FDA Label for vortioxetine and CYP2D6,2014-07-16,CYP2D6,drug_label
estradiol,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,PROC,drug_label
estradiol,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,PROS1,drug_label
estradiol,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,SERPINC1,drug_label
progesterone,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,PROC,drug_label
progesterone,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,PROS1,drug_label
progesterone,Actionable PGx,FDA,"Annotation of FDA Label for estradiol / progesterone and PROC, PROS1, SERPINC1",,SERPINC1,drug_label
entrectinib,Testing required,FDA,"Annotation of FDA Label for entrectinib and NTRK1, NTRK2, NTRK3, ROS1",,NTRK1,drug_label
entrectinib,Testing required,FDA,"Annotation of FDA Label for entrectinib and NTRK1, NTRK2, NTRK3, ROS1",,NTRK2,drug_label
entrectinib,Testing required,FDA,"Annotation of FDA Label for entrectinib and NTRK1, NTRK2, NTRK3, ROS1",,NTRK3,drug_label
entrectinib,Testing required,FDA,"Annotation of FDA Label for entrectinib and NTRK1, NTRK2, NTRK3, ROS1",,ROS1,drug_label
fluorouracil,Actionable PGx,FDA,Annotation of FDA Label for fluorouracil and DPYD,2017-05-04,DPYD,drug_label
brigatinib,Testing required,FDA,Annotation of FDA Label for brigatinib and ALK,,ALK,drug_label
ceritinib,Testing required,FDA,Annotation of FDA Label for ceritinib and ALK,2019-10-21,ALK,drug_label
chlorpropamide,Actionable PGx,FDA,Annotation of FDA Label for chlorpropamide and G6PD,2019-04-16,G6PD,drug_label
cobimetinib,Testing required,FDA,Annotation of FDA Label for cobimetinib and BRAF,2019-04-25,BRAF,drug_label
dabrafenib,Testing required,FDA,Annotation of FDA Label for dabrafenib and BRAF,2019-04-29,BRAF,drug_label
divalproex sodium,Testing required,FDA,Annotation of FDA Label for divalproex sodium and POLG,,POLG,drug_label
encorafenib,Testing required,FDA,Annotation of FDA Label for encorafenib and BRAF,,BRAF,drug_label
osimertinib,Testing required,FDA,Annotation of FDA Label for osimertinib and EGFR,2019-04-16,EGFR,drug_label
velaglucerase alfa,Testing required,FDA,Annotation of FDA Label for velaglucerase alfa and GBA,2014-01-15,GBA,drug_label
aripiprazole lauroxil,Actionable PGx,FDA,Annotation of FDA Label for aripiprazole lauroxil and CYP2D6,,CYP2D6,drug_label
abemaciclib,Testing required,FDA,"Annotation of FDA Label for abemaciclib and ERBB2, ESR1, ESR2, PGR",2019-05-08,ERBB2,drug_label
abemaciclib,Testing required,FDA,"Annotation of FDA Label for abemaciclib and ERBB2, ESR1, ESR2, PGR",2019-05-08,ESR1,drug_label
abemaciclib,Testing required,FDA,"Annotation of FDA Label for abemaciclib and ERBB2, ESR1, ESR2, PGR",2019-05-08,ESR2,drug_label
abemaciclib,Testing required,FDA,"Annotation of FDA Label for abemaciclib and ERBB2, ESR1, ESR2, PGR",2019-05-08,PGR,drug_label
cevimeline,Actionable PGx,FDA,Annotation of FDA Label for cevimeline and CYP2D6,2013-10-25,CYP2D6,drug_label
oxcarbazepine,Testing recommended,FDA,Annotation of FDA Label for oxcarbazepine and HLA-B,2019-04-16,HLA-B,drug_label
nebivolol,Informative PGx,FDA,Annotation of FDA Label for nebivolol and CYP2D6,,CYP2D6,drug_label
piroxicam,Actionable PGx,FDA,Annotation of FDA Label for piroxicam and CYP2C9,2019-04-19,CYP2C9,drug_label
dronabinol,Actionable PGx,FDA,Annotation of FDA Label for dronabinol and CYP2C9,,CYP2C9,drug_label
antithrombotic agents,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for antithrombotic agents and G6PD,,G6PD,drug_label
atomoxetine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for atomoxetine and CYP2D6,,CYP2D6,drug_label
glibenclamide,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for glibenclamide and G6PD,,G6PD,drug_label
